,video_id,video_title_high_engagement,video_title_medium_engagement,video_tile_low_engagement,video_audio_high_engagement,video_audio_medium_engagement,video_audio_low_engagement,video_thumbnail_high_engagement,video_thumbnail_medium_engagement,video_thumbnail_low_engagement,video_frame_high_engagement,video_frame_medium_engagement,video_frame_low_engagement,video_transcript_high_engagement,video_transcript_medium_engagement,video_transcript_low_engagement,label
42,Ng6K3N4yXus,0.08381667518088982,0.04197474302805405,0.8742085817910562,0.023891879649162968,0.10911840379459992,0.8669897165562371,0.019221391299051083,0.907255824441882,0.07352278425906693,0.07602005497707809,0.740337397731403,0.18364254729151896,0.012338259615887644,0.9397893880896769,0.04787235229443531,Low engagement
43,IK6q6dWaHeU,0.5369068378165275,0.025224567795228036,0.43786859438824455,0.14298351899601855,0.3559564730807285,0.501060007923253,0.10347821636984697,0.7532180856992896,0.1433036979308634,0.24048704127580195,0.10352077743569542,0.6559921812885026,0.09093963439931882,0.8265884517158245,0.08247191388485674,High engagement
44,isd_GuuNQZE,0.3384945291042375,0.11307532167850852,0.5484301492172541,0.08932005558580224,0.20637106151551377,0.704308882898684,0.14757802628808467,0.5508843958064112,0.301537577905504,0.09769424676983053,0.34377499157310576,0.5585307616570637,0.04343993514556634,0.6956352523788472,0.26092481247558647,High engagement
45,MkTF4ozw6EE,0.032153174515909,0.8618064349011701,0.10604039058292097,0.04939422718631096,0.021703171179403746,0.9289026016342852,0.12489035667603421,0.6947994890174046,0.18031015430656114,0.027408159028809657,0.6788868713881518,0.29370496958303843,0.042008918372435464,0.9158129729620132,0.042178108665551294,Medium engagement
49,JHLuKr1xPSQ,0.1944570581452533,0.011434320770225511,0.7941086210845212,0.01538938883990503,0.8680868061837291,0.11652380497636594,0.07058932975811184,0.7757438846251036,0.1536667856167845,0.10070713021068393,0.31381941928701074,0.5854734505023054,0.3057082787310603,0.2361371852268859,0.4581545360420538,Low engagement
51,RBxZDeXdE2A,0.004859767653745392,0.9555850522313668,0.03955518011488783,0.19307847165385703,0.04446765508669341,0.7624538732594495,0.0029237861343740686,0.9897556663166704,0.00732054754895559,0.11167651625372028,0.26432274436732905,0.6240007393789507,0.057289653373236056,0.8380164624525683,0.10469388417419545,Medium engagement
53,tXRL9knnwhc,0.0469761338724685,0.880838482860236,0.07218538326729541,0.013398974432075458,0.10707647234944237,0.8795245532184822,0.011699555594946088,0.9451800010567996,0.04312044334825437,0.0032319380502703735,0.4526097955350973,0.5441582664146324,0.21950695848291793,0.6435595146333318,0.1369335268837503,High engagement
56,KYk71V-U0KI,0.25418939027112036,0.014862923144956307,0.7309476865839234,0.010604897705707987,0.8713408077373527,0.11805429455693932,0.10389789694803148,0.8174911161864253,0.07861098686554333,0.2191540800425493,0.24673769724580305,0.5341082227116477,0.01874652834725785,0.8327812323209604,0.14847223933178166,High engagement
58,TH4cAnebZwc,0.010907721637697591,0.9660998461413512,0.022992432220951077,0.037895504338441015,0.4281440779957849,0.5339604176657741,0.018514922846195086,0.9394704264697549,0.0420146506840499,0.0047608730584810825,0.6647275487261998,0.3305115782153193,0.10068151583355997,0.6508408277111122,0.24847765645532785,Medium engagement
61,PJnJfbUuklY,0.1614359011684073,0.015950064539882947,0.8226140342917098,0.08660358282413289,0.5941890568240535,0.31920736035181346,0.08861848228828219,0.6209047177645373,0.29047679994718056,0.25252222023770377,0.3929110951342719,0.3545666846280242,0.03570344760530674,0.906043117348034,0.058253435046659134,High engagement
