id,DAY(upload_date),MONTH(upload_date),YEAR(upload_date),q_score,likes_rate,comments_rate,like_count,dislike_count,view_count,COUNT(comments),MEAN(comments.likes),SKEW(comments.likes),MIN(comments.likes),NUM_UNIQUE(comments.username),channel_id,username_channel
okIB5nsHydA,23,8,2017,0.688396349,4.332976159,1.553710153,647,119,149320,9,3.666666667,2.623156949,2,8,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
dlTwXSJZuto,24,8,2017,0.937991266,7.858961141,0.587940964,12204,390,1552877,67,15.32835821,4.460730063,2,63,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
CiRT1Snm7Ls,1,9,2017,0.92724808,7.96246841,0.479450827,10662,402,1339032,61,15.3442623,4.602482235,2,57,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
z2Qh_3aqJUE,10,9,2017,0.947622178,11.92383559,0.762180803,4443,119,372615,31,10.64516129,4.327991799,2,29,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
fiQLtx2tub0,14,9,2017,0.958132476,10.75337348,0.680481553,10967,234,1019866,43,28.90697674,3.804345285,2,40,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
IgCRPvtoy2Y,16,9,2017,0.807017544,6.774888918,4.091329022,154,16,22731,0,,,,,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
mG5Q1leiwuM,20,9,2017,0.73,6.765793407,2.517504524,86,13,12711,0,,,,,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
pDEZNMGNzwI,21,9,2017,0.945336077,9.537439882,0.748548804,14181,398,1486877,84,18.91666667,4.976186808,2,82,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
78uRq9DW6Eo,27,9,2017,0.944755406,11.03962609,0.419595456,25363,720,2297451,52,36.76923077,3.848743377,2,51,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
zX8yEK9AXwU,29,9,2017,0.958155066,10.15096614,0.682717931,9382,200,924247,52,20.86538462,4.698640147,2,49,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
wwjaLRORIXM,5,10,2017,0.958971362,7.905425486,0.643453894,8379,175,1059905,59,11.89830508,6.153095536,2,56,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
#NAME?,12,10,2017,0.958275575,10.96986123,0.952077719,7063,150,643855,66,17.46969697,6.394008038,2,58,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
xWpNbxjvWJ4,19,10,2017,0.955466699,15.43280212,1.592326768,32032,729,2075579,195,31.45128205,7.481664002,2,189,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
wMPn3Ul9E9s,21,10,2017,0.836027714,6.609506368,4.028968617,397,35,60065,8,4,2.396012312,2,8,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
RjT9KL-By48,27,10,2017,0.662721893,4.250797024,0.850159405,140,28,32935,1,3,,3,1,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
o7uQOU2uL64,28,10,2017,0.592592593,11.26005362,8.042895442,21,5,1865,0,,,,,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
M9dMmf7SafU,1,11,2017,0.466375546,1.249045351,0.553807951,839,305,671713,11,4.636363636,2.81251161,2,11,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
7txU8f9Dl5c,3,11,2017,0.909758729,8.145649182,0.594938868,41595,1965,5106407,172,32.8372093,9.689246876,2,162,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
pwppoWWndF4,3,11,2017,0.838709677,10.55806938,5.279034691,28,2,2652,0,,,,,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
zPwFWSUUFMs,7,11,2017,0.852777778,6.490342448,2.241409554,333,26,51307,2,4,,2,2,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
#NAME?,9,11,2017,0.941768798,9.761143389,0.921164197,14655,439,1501361,59,39.05084746,4.789797141,2,56,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
nZ2-d7F79e8,15,11,2017,0.952380952,12.86738107,1.102249611,6047,147,469948,41,18.09756098,4.735048437,2,38,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
_e2N7GeGF-U,17,11,2017,0.945649674,11.19684477,0.832042917,12690,354,1133355,68,15.14705882,5.842225018,2,66,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
vRcDheX53oY,17,11,2017,0.847222222,7.039513248,2.122466306,199,16,28269,3,2.666666667,1.732050808,2,3,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
wsMctE8Exe4,25,11,2017,0.936595363,8.95284341,0.641519117,22678,742,2533050,99,24.82828283,5.647577608,2,94,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
