video_id,Like,No like,From 1 from 10,From 11 to 100,From 101 to 1K,More than 1K
0OOsoZXm2R4,414,1019,347,53,12,2
0OYwo7QdV9g,58,485,55,3,0,0
0On89xsV-Vs,19,10,17,2,0,0
0OuT-uoym5k,255,1325,183,49,22,1
0PbV2xve4B4,13,26,13,0,0,0
0Pgjxlrx6Os,21,20,20,1,0,0
0Q-KKmIwPTY,29,43,28,1,0,0
0QEZnPScbvA,280,115,259,21,0,0
0QTIUPq7Suw,138,115,128,10,0,0
0QWJrZ4KsCg,1,1,1,0,0,0
0R5ueke8Crg,35,78,35,0,0,0
0REdTWjtHIg,94,177,84,10,0,0
0RyrGHfc1Dc,111,90,110,1,0,0
0SAB5oWUXew,53,256,51,2,0,0
0SXpIeFfSWQ,13,19,11,2,0,0
0Sy4-CYdCbE,37,23,37,0,0,0
0U3ib4BMwwI,104,4,104,0,0,0
0VBi4cl8r2w,11,9,8,3,0,0
0Vb5dPf-FiM,11,21,11,0,0,0
0WNNiB5eFXE,54,215,48,6,0,0
0WYSegiGqnU,0,1,0,0,0,0
0WZ4wRVvNPA,81,641,76,5,0,0
0Wde8YnELiQ,151,872,128,17,6,0
0Whx-jFLKgE,145,265,138,7,0,0
0WqxEsxhG7E,243,1266,223,19,1,0
0XQvCrKYpdI,32,17,29,3,0,0
0Xr6DvwRzDk,77,40,70,7,0,0
0YTcIhAcmWE,279,700,257,19,3,0
0YtmDsBDL98,117,239,109,7,1,0
0ZGJKfYhUQU,18,41,18,0,0,0
0ZLpwSTX8EQ,18,21,18,0,0,0
0Zeiwqc9dIw,1,2,1,0,0,0
0Zi4ylrRLlk,5,1,5,0,0,0
0_R9-t3bn74,33,116,29,4,0,0
0aiwE0b4iKI,114,575,108,5,1,0
0bbSvWWeKFY,40,1,39,1,0,0
0bjXp1ngy8w,0,2,0,0,0,0
0bto8Cet6BI,150,48,148,2,0,0
0cGHOoox5D0,103,247,93,10,0,0
0cUnJ8GSZjE,108,64,106,2,0,0
0ccL8OUkQok,68,385,65,3,0,0
0ciREn3aD0I,523,1057,348,121,50,4
0cmSHudxBpE,14,8,14,0,0,0
0dE7viH0G08,10,26,10,0,0,0
0dMF1U0ZFU0,6,20,6,0,0,0
0eDnWu9k0vE,12,19,12,0,0,0
0eSOhM5ayRg,23,37,19,4,0,0
0fXxXIZBvyI,0,1,0,0,0,0
0fjq1Usn31w,2,2,2,0,0,0
0gMEhfCdDhw,11,43,11,0,0,0
0ggEpWStQ1U,4,4,4,0,0,0
0gphZ0ILSf0,2,6,2,0,0,0
0gq9XPccb0c,1,3,1,0,0,0
0guYx-52Q_s,0,1,0,0,0,0
0gwVK2nUjYY,294,1286,246,40,8,0
0hD7xQGGJa4,15,20,15,0,0,0
0heETN5VqEg,240,550,191,43,6,0
0hlNp7zCLyQ,3,1,3,0,0,0
0hn9OppmqOs,44,9,43,1,0,0
0iEKhIseA0w,105,145,96,9,0,0
0iPGel-hpOc,54,43,54,0,0,0
0ikW5AiCC5w,35,59,34,1,0,0
0jJX7p6qzMY,137,75,128,9,0,0
0kvj3XDHYKQ,167,520,157,9,1,0
0l0QChyfcyw,32,51,31,1,0,0
0lJqPcqxMQg,95,33,94,1,0,0
0lR5GTYoH5o,17,3,17,0,0,0
0m0iaJOrOhk,11,38,9,2,0,0
0m8bL7k3aWY,199,700,177,21,1,0
0mEyglfxNh0,8,32,8,0,0,0
0nDcBavPacE,24,37,24,0,0,0
0nL134RyFsc,32,24,23,9,0,0
